Date,Proverbe,Traduction
09/02,Péyi-a pa ka manti : Pou sonjé koté'w sòti.,Pou sonjé koté'w sòti
10/02,Kannari ka montré verité-a : Pou konprann ki moun'w yé.,Pou konprann ki moun'w yé
11/02,Tanbou ka montré verité-a : Sa ka fè'w aprann pasyans.,Sa ka fè'w aprann pasyans
12/02,Chat ka pran pasé'y : Pou chonjé fòs'w.,Pou chonjé fòs'w
13/02,Zétwal ka pran tan'y pou fè mizik : Pou viv an lanmou.,Pou viv an lanmou
14/02,Mouton ka fè chimen'y : Pou wouvè zyé'w byen.,Pou wouvè zyé'w byen
15/02,Péyi-a ka voyé son : Sa ka fè'w aprann pasyans.,Sa ka fè'w aprann pasyans
16/02,Woch ka montré verité-a : Pou toujou gadé douvan.,Pou toujou gadé douvan
17/02,Dlo ka fè chimen'y : Pou wouvè zyé'w byen.,Pou wouvè zyé'w byen
18/02,Bwa ka pran tan'y pou fè mizik : Pou pa kouri dèyè bagay ki pa vo'y.,Pou pa kouri dèyè bagay ki pa vo'y
19/02,Chat ka fè chimen'y : Pou chonjé fòs'w.,Pou chonjé fòs'w
20/02,Vant pa ka manti : Pou viv an lanmou.,Pou viv an lanmou
21/02,Kannari ka montré verité-a : Pou viv an lanmou.,Pou viv an lanmou
22/02,Tanbou ka fè chimen'y : Pou pa fè menm erè ankò.,Pou pa fè menm erè ankò
23/02,Mouton ka montré verité-a : Pou sonjé koté'w sòti.,Pou sonjé koté'w sòti
24/02,Dlo ka montré verité-a : Pou chonjé fòs'w.,Pou chonjé fòs'w
25/02,Ti poul ka ba tout moun limyè : Pou pa fè menm erè ankò.,Pou pa fè menm erè ankò
26/02,Konpè krab pa ka manti : Pou pa kouri dèyè bagay ki pa vo'y.,Pou pa kouri dèyè bagay ki pa vo'y
27/02,Chat ka ba tout moun limyè : Pou pa kouri dèyè bagay ki pa vo'y.,Pou pa kouri dèyè bagay ki pa vo'y
28/02,Konpè krab ka ba tout moun limyè : Sa ka fè'w aprann pasyans.,Sa ka fè'w aprann pasyans
29/02,Péyi-a ka mennen'w koté'w pa lé alé : Pou konprann ki moun'w yé.,Pou konprann ki moun'w yé
01/03,Bwa ka pran pasé'y : Pou pa kouri dèyè bagay ki pa vo'y.,Pou pa kouri dèyè bagay ki pa vo'y
02/03,Ti poul ka voyé lod : Pou wouvè zyé'w byen.,Pou wouvè zyé'w byen
03/03,Soley ka ba tout moun limyè : Pou pa kouri dèyè bagay ki pa vo'y.,Pou pa kouri dèyè bagay ki pa vo'y
04/03,Tanbou ka ba tout moun limyè : Pou viv an lanmou.,Pou viv an lanmou
05/03,Chat ka ba tout moun limyè : Pou konprann ki moun'w yé.,Pou konprann ki moun'w yé
06/03,Kannari ka pran tan'y pou fè mizik : Pou pa kouri dèyè bagay ki pa vo'y.,Pou pa kouri dèyè bagay ki pa vo'y
07/03,Mouton ka pran tan'y pou fè mizik : Sa ka fè'w konn valè lavi.,Sa ka fè'w konn valè lavi
08/03,Chyen ka ba tout moun limyè : Pou toujou gadé douvan.,Pou toujou gadé douvan
09/03,Lanmé ka kaché sékré : Pou chonjé fòs'w.,Pou chonjé fòs'w
10/03,Chyen pa ka manti : Pou toujou gadé douvan.,Pou toujou gadé douvan
11/03,Chat ka pran pasé'y : Pou pa kouri dèyè bagay ki pa vo'y.,Pou pa kouri dèyè bagay ki pa vo'y
12/03,Woch ka pran pasé'y : Pou chonjé fòs'w.,Pou chonjé fòs'w
13/03,Péyi-a ka mennen'w koté'w pa lé alé : Pou konprann ki moun'w yé.,Pou konprann ki moun'w yé
14/03,Dlo ka montré verité-a : Pou chonjé fòs'w.,Pou chonjé fòs'w
15/03,Péyi-a ka ba tout moun limyè : Sa ka fè'w aprann pasyans.,Sa ka fè'w aprann pasyans
16/03,Konpè krab ka mennen'w koté'w pa lé alé : Pou toujou gadé douvan.,Pou toujou gadé douvan
17/03,Soley ka pran pasé'y : Pou toujou gadé douvan.,Pou toujou gadé douvan
18/03,Lanmé ka pran tan'y pou fè mizik : Sa ka fè'w konn valè lavi.,Sa ka fè'w konn valè lavi
19/03,Chyen pa ka manti : Pou pa kouri dèyè bagay ki pa vo'y.,Pou pa kouri dèyè bagay ki pa vo'y
20/03,Zépon ka voyé lod : Pou wouvè zyé'w byen.,Pou wouvè zyé'w byen
21/03,Mouton ka ba tout moun limyè : Pou pa fè menm erè ankò.,Pou pa fè menm erè ankò
22/03,Lalin pa ka manti : Sa ka fè'w aprann pasyans.,Sa ka fè'w aprann pasyans
23/03,Tanbou ka fè chimen'y : Sa ka fè'w aprann pasyans.,Sa ka fè'w aprann pasyans
24/03,Woch ka mennen'w koté'w pa lé alé : Sa ka fè'w aprann pasyans.,Sa ka fè'w aprann pasyans
25/03,Dlo ka pran pasé'y : Pou chonjé fòs'w.,Pou chonjé fòs'w
26/03,Chyen ka montré verité-a : Pou viv an lanmou.,Pou viv an lanmou
27/03,Bwa ka fè chimen'y : Pou toujou gadé douvan.,Pou toujou gadé douvan
28/03,Zépon ka fè chimen'y : Pou wouvè zyé'w byen.,Pou wouvè zyé'w byen
29/03,Zétwal ka pran pasé'y : Pou wouvè zyé'w byen.,Pou wouvè zyé'w byen
30/03,Chat ka voyé lod : Pou viv an lanmou.,Pou viv an lanmou
31/03,Zépon ka voyé lod : Pou konprann ki moun'w yé.,Pou konprann ki moun'w yé
01/04,Dlo ka pran tan'y pou fè mizik : Pou toujou gadé douvan.,Pou toujou gadé douvan
02/04,Bwa ka ba tout moun limyè : Pou pa fè menm erè ankò.,Pou pa fè menm erè ankò
03/04,Konpè lapen ka ba tout moun limyè : Pou pa kouri dèyè bagay ki pa vo'y.,Pou pa kouri dèyè bagay ki pa vo'y
04/04,Soley ka fè chimen'y : Pou pa fè menm erè ankò.,Pou pa fè menm erè ankò
05/04,Kokiyaj ka kaché sékré : Sa ka fè'w konn valè lavi.,Sa ka fè'w konn valè lavi
06/04,Vant ka pran tan'y pou fè mizik : Sa ka fè'w konn valè lavi.,Sa ka fè'w konn valè lavi
07/04,Chyen ka voyé son : Pou chonjé fòs'w.,Pou chonjé fòs'w
08/04,Bwa ka voyé son : Pou pa kouri dèyè bagay ki pa vo'y.,Pou pa kouri dèyè bagay ki pa vo'y
09/04,Lalin ka kaché sékré : Pou toujou gadé douvan.,Pou toujou gadé douvan
10/04,Dlo ka kaché sékré : Pou toujou gadé douvan.,Pou toujou gadé douvan
11/04,Chat ka voyé lod : Pou sonjé koté'w sòti.,Pou sonjé koté'w sòti
12/04,Woch ka pran tan'y pou fè mizik : Pou toujou gadé douvan.,Pou toujou gadé douvan
13/04,Péyi-a ka voyé son : Pou konprann ki moun'w yé.,Pou konprann ki moun'w yé
14/04,Bwa ka pran tan'y pou fè mizik : Pou sonjé koté'w sòti.,Pou sonjé koté'w sòti
15/04,Zépon ka kaché sékré : Sa ka fè'w konn valè lavi.,Sa ka fè'w konn valè lavi
16/04,Chat ka voyé lod : Pou konprann ki moun'w yé.,Pou konprann ki moun'w yé
17/04,Lalin ka mennen'w koté'w pa lé alé : Pou konprann ki moun'w yé.,Pou konprann ki moun'w yé
18/04,Zétwal ka voyé lod : Pou wouvè zyé'w byen.,Pou wouvè zyé'w byen
19/04,Chyen ka mennen'w koté'w pa lé alé : Sa ka fè'w aprann pasyans.,Sa ka fè'w aprann pasyans
20/04,Woch ka pran tan'y pou fè mizik : Pou chonjé fòs'w.,Pou chonjé fòs'w
21/04,Zépon ka pran tan'y pou fè mizik : Pou sonjé koté'w sòti.,Pou sonjé koté'w sòti
22/04,Konpè lapen ka fè chimen'y : Pou pa kouri dèyè bagay ki pa vo'y.,Pou pa kouri dèyè bagay ki pa vo'y
23/04,Zépon ka fè chimen'y : Pou konprann ki moun'w yé.,Pou konprann ki moun'w yé
24/04,Lalin ka pran pasé'y : Sa ka fè'w konn valè lavi.,Sa ka fè'w konn valè lavi
25/04,Mouton ka pran tan'y pou fè mizik : Pou pa kouri dèyè bagay ki pa vo'y.,Pou pa kouri dèyè bagay ki pa vo'y
26/04,Chat ka mennen'w koté'w pa lé alé : Pou viv an lanmou.,Pou viv an lanmou
27/04,Lanmé ka voyé lod : Pou toujou gadé douvan.,Pou toujou gadé douvan
28/04,Kokiyaj ka voyé son : Pou sonjé koté'w sòti.,Pou sonjé koté'w sòti
29/04,Konpè krab ka montré verité-a : Pou wouvè zyé'w byen.,Pou wouvè zyé'w byen
30/04,Zépon ka fè chimen'y : Pou pa fè menm erè ankò.,Pou pa fè menm erè ankò
01/05,Lanmé ka pran pasé'y : Pou pa kouri dèyè bagay ki pa vo'y.,Pou pa kouri dèyè bagay ki pa vo'y
02/05,Vant ka mennen'w koté'w pa lé alé : Pou chonjé fòs'w.,Pou chonjé fòs'w
03/05,Dlo pa ka manti : Pou konprann ki moun'w yé.,Pou konprann ki moun'w yé
04/05,Kokiyaj pa ka manti : Pou wouvè zyé'w byen.,Pou wouvè zyé'w byen
05/05,Zépon ka voyé lod : Pou viv an lanmou.,Pou viv an lanmou
06/05,Bwa ka kaché sékré : Sa ka fè'w konn valè lavi.,Sa ka fè'w konn valè lavi
07/05,Fey ka voyé lod : Pou pa kouri dèyè bagay ki pa vo'y.,Pou pa kouri dèyè bagay ki pa vo'y
08/05,Woch ka mennen'w koté'w pa lé alé : Sa ka fè'w konn valè lavi.,Sa ka fè'w konn valè lavi
09/05,Kokiyaj ka mennen'w koté'w pa lé alé : Pou pa kouri dèyè bagay ki pa vo'y.,Pou pa kouri dèyè bagay ki pa vo'y
10/05,Tanbou ka pran pasé'y : Pou viv an lanmou.,Pou viv an lanmou
11/05,Ti poul ka pran tan'y pou fè mizik : Pou pa fè menm erè ankò.,Pou pa fè menm erè ankò
12/05,Tanbou ka ba tout moun limyè : Sa ka fè'w konn valè lavi.,Sa ka fè'w konn valè lavi
13/05,Lanmé ka voyé lod : Pou chonjé fòs'w.,Pou chonjé fòs'w
14/05,Fey ka mennen'w koté'w pa lé alé : Pou wouvè zyé'w byen.,Pou wouvè zyé'w byen
15/05,Soley ka ba tout moun limyè : Pou konprann ki moun'w yé.,Pou konprann ki moun'w yé
16/05,Soley ka fè chimen'y : Sa ka fè'w konn valè lavi.,Sa ka fè'w konn valè lavi
17/05,Tanbou ka voyé son : Pou konprann ki moun'w yé.,Pou konprann ki moun'w yé
18/05,Kannari ka pran pasé'y : Pou wouvè zyé'w byen.,Pou wouvè zyé'w byen
19/05,Chat ka montré verité-a : Pou wouvè zyé'w byen.,Pou wouvè zyé'w byen
20/05,Bwa ka ba tout moun limyè : Pou wouvè zyé'w byen.,Pou wouvè zyé'w byen
21/05,Soley ka pran pasé'y : Pou pa fè menm erè ankò.,Pou pa fè menm erè ankò
22/05,Mouton ka pran tan'y pou fè mizik : Sa ka fè'w konn valè lavi.,Sa ka fè'w konn valè lavi
23/05,Dlo pa ka manti : Pou wouvè zyé'w byen.,Pou wouvè zyé'w byen
24/05,Vant ka voyé lod : Pou pa fè menm erè ankò.,Pou pa fè menm erè ankò
25/05,Vant ka mennen'w koté'w pa lé alé : Pou chonjé fòs'w.,Pou chonjé fòs'w
26/05,Lanmé ka fè chimen'y : Pou viv an lanmou.,Pou viv an lanmou
27/05,Fey ka fè chimen'y : Sa ka fè'w konn valè lavi.,Sa ka fè'w konn valè lavi
28/05,Ti poul pa ka manti : Sa ka fè'w konn valè lavi.,Sa ka fè'w konn valè lavi
29/05,Zétwal ka mennen'w koté'w pa lé alé : Sa ka fè'w konn valè lavi.,Sa ka fè'w konn valè lavi
30/05,Fey ka pran tan'y pou fè mizik : Pou pa fè menm erè ankò.,Pou pa fè menm erè ankò
31/05,Péyi-a ka voyé son : Pou chonjé fòs'w.,Pou chonjé fòs'w
01/06,Ti poul ka fè chimen'y : Pou pa fè menm erè ankò.,Pou pa fè menm erè ankò
02/06,Zétwal ka voyé son : Pou viv an lanmou.,Pou viv an lanmou
03/06,Konpè lapen ka kaché sékré : Sa ka fè'w konn valè lavi.,Sa ka fè'w konn valè lavi
04/06,Péyi-a ka fè chimen'y : Pou konprann ki moun'w yé.,Pou konprann ki moun'w yé
05/06,Konpè lapen ka kaché sékré : Pou chonjé fòs'w.,Pou chonjé fòs'w
06/06,Lanmé ka pran tan'y pou fè mizik : Pou sonjé koté'w sòti.,Pou sonjé koté'w sòti
07/06,Konpè krab ka mennen'w koté'w pa lé alé : Pou sonjé koté'w sòti.,Pou sonjé koté'w sòti
08/06,Woch ka pran pasé'y : Sa ka fè'w aprann pasyans.,Sa ka fè'w aprann pasyans
09/06,Mouton ka kaché sékré : Pou pa fè menm erè ankò.,Pou pa fè menm erè ankò
10/06,Kannari ka fè chimen'y : Sa ka fè'w konn valè lavi.,Sa ka fè'w konn valè lavi
11/06,Kannari ka montré verité-a : Pou chonjé fòs'w.,Pou chonjé fòs'w
12/06,Zépon ka pran tan'y pou fè mizik : Pou pa kouri dèyè bagay ki pa vo'y.,Pou pa kouri dèyè bagay ki pa vo'y
13/06,Tanbou ka kaché sékré : Pou sonjé koté'w sòti.,Pou sonjé koté'w sòti
14/06,Woch ka mennen'w koté'w pa lé alé : Pou toujou gadé douvan.,Pou toujou gadé douvan
15/06,Soley ka kaché sékré : Pou sonjé koté'w sòti.,Pou sonjé koté'w sòti
16/06,Kannari ka ba tout moun limyè : Pou pa kouri dèyè bagay ki pa vo'y.,Pou pa kouri dèyè bagay ki pa vo'y
17/06,Mouton pa ka manti : Pou chonjé fòs'w.,Pou chonjé fòs'w
18/06,Lalin ka pran tan'y pou fè mizik : Sa ka fè'w konn valè lavi.,Sa ka fè'w konn valè lavi
19/06,Konpè lapen ka kaché sékré : Sa ka fè'w konn valè lavi.,Sa ka fè'w konn valè lavi
20/06,Péyi-a ka kaché sékré : Pou pa kouri dèyè bagay ki pa vo'y.,Pou pa kouri dèyè bagay ki pa vo'y
21/06,Péyi-a ka montré verité-a : Sa ka fè'w konn valè lavi.,Sa ka fè'w konn valè lavi
22/06,Chyen ka fè chimen'y : Pou sonjé koté'w sòti.,Pou sonjé koté'w sòti
23/06,Bwa pa ka manti : Pou sonjé koté'w sòti.,Pou sonjé koté'w sòti
24/06,Fey ka ba tout moun limyè : Pou viv an lanmou.,Pou viv an lanmou
25/06,Zépon ka pran tan'y pou fè mizik : Pou pa fè menm erè ankò.,Pou pa fè menm erè ankò
26/06,Bwa ka pran pasé'y : Pou sonjé koté'w sòti.,Pou sonjé koté'w sòti
27/06,Kannari ka kaché sékré : Pou konprann ki moun'w yé.,Pou konprann ki moun'w yé
28/06,Konpè krab ka voyé son : Pou konprann ki moun'w yé.,Pou konprann ki moun'w yé
29/06,Soley ka voyé son : Pou konprann ki moun'w yé.,Pou konprann ki moun'w yé
30/06,Ti poul pa ka manti : Pou viv an lanmou.,Pou viv an lanmou
01/07,Chyen ka pran pasé'y : Pou sonjé koté'w sòti.,Pou sonjé koté'w sòti
02/07,Lalin ka voyé son : Pou wouvè zyé'w byen.,Pou wouvè zyé'w byen
03/07,Tanbou ka voyé son : Sa ka fè'w konn valè lavi.,Sa ka fè'w konn valè lavi
04/07,Woch ka kaché sékré : Pou toujou gadé douvan.,Pou toujou gadé douvan
05/07,Bwa ka mennen'w koté'w pa lé alé : Pou viv an lanmou.,Pou viv an lanmou
06/07,Soley ka ba tout moun limyè : Pou konprann ki moun'w yé.,Pou konprann ki moun'w yé
07/07,Kokiyaj ka montré verité-a : Pou viv an lanmou.,Pou viv an lanmou
08/07,Kannari ka ba tout moun limyè : Sa ka fè'w aprann pasyans.,Sa ka fè'w aprann pasyans
09/07,Kannari ka montré verité-a : Sa ka fè'w aprann pasyans.,Sa ka fè'w aprann pasyans
10/07,Vant ka kaché sékré : Pou sonjé koté'w sòti.,Pou sonjé koté'w sòti
11/07,Kannari ka voyé son : Pou toujou gadé douvan.,Pou toujou gadé douvan
12/07,Konpè lapen ka voyé lod : Pou toujou gadé douvan.,Pou toujou gadé douvan
13/07,Kokiyaj ka fè chimen'y : Pou sonjé koté'w sòti.,Pou sonjé koté'w sòti
14/07,Tanbou ka voyé lod : Pou chonjé fòs'w.,Pou chonjé fòs'w
15/07,Tanbou ka fè chimen'y : Sa ka fè'w konn valè lavi.,Sa ka fè'w konn valè lavi
16/07,Vant ka fè chimen'y : Pou sonjé koté'w sòti.,Pou sonjé koté'w sòti
17/07,Fey ka montré verité-a : Pou sonjé koté'w sòti.,Pou sonjé koté'w sòti
18/07,Chyen ka ba tout moun limyè : Pou toujou gadé douvan.,Pou toujou gadé douvan
19/07,Mouton pa ka manti : Pou pa kouri dèyè bagay ki pa vo'y.,Pou pa kouri dèyè bagay ki pa vo'y
20/07,Péyi-a ka pran tan'y pou fè mizik : Pou sonjé koté'w sòti.,Pou sonjé koté'w sòti
21/07,Kannari ka ba tout moun limyè : Pou chonjé fòs'w.,Pou chonjé fòs'w
22/07,Chyen ka ba tout moun limyè : Sa ka fè'w aprann pasyans.,Sa ka fè'w aprann pasyans
23/07,Konpè krab ka kaché sékré : Pou viv an lanmou.,Pou viv an lanmou
24/07,Chat ka pran pasé'y : Sa ka fè'w aprann pasyans.,Sa ka fè'w aprann pasyans
25/07,Konpè lapen ka montré verité-a : Sa ka fè'w aprann pasyans.,Sa ka fè'w aprann pasyans
26/07,Tanbou ka ba tout moun limyè : Pou sonjé koté'w sòti.,Pou sonjé koté'w sòti
27/07,Woch ka voyé lod : Pou pa fè menm erè ankò.,Pou pa fè menm erè ankò
28/07,Chat ka pran tan'y pou fè mizik : Pou pa kouri dèyè bagay ki pa vo'y.,Pou pa kouri dèyè bagay ki pa vo'y
29/07,Bwa ka voyé son : Pou konprann ki moun'w yé.,Pou konprann ki moun'w yé
30/07,Chat pa ka manti : Pou wouvè zyé'w byen.,Pou wouvè zyé'w byen
31/07,Zépon ka montré verité-a : Pou toujou gadé douvan.,Pou toujou gadé douvan
01/08,Woch ka fè chimen'y : Pou wouvè zyé'w byen.,Pou wouvè zyé'w byen
02/08,Bwa ka voyé lod : Pou chonjé fòs'w.,Pou chonjé fòs'w
03/08,Dlo ka voyé son : Pou konprann ki moun'w yé.,Pou konprann ki moun'w yé
04/08,Kokiyaj ka voyé lod : Sa ka fè'w aprann pasyans.,Sa ka fè'w aprann pasyans
05/08,Zépon ka montré verité-a : Pou pa fè menm erè ankò.,Pou pa fè menm erè ankò
06/08,Péyi-a ka voyé son : Pou pa kouri dèyè bagay ki pa vo'y.,Pou pa kouri dèyè bagay ki pa vo'y
07/08,Soley ka pran tan'y pou fè mizik : Pou konprann ki moun'w yé.,Pou konprann ki moun'w yé
08/08,Konpè lapen ka voyé son : Sa ka fè'w konn valè lavi.,Sa ka fè'w konn valè lavi
09/08,Dlo ka pran tan'y pou fè mizik : Pou pa kouri dèyè bagay ki pa vo'y.,Pou pa kouri dèyè bagay ki pa vo'y
10/08,Lalin ka montré verité-a : Pou pa fè menm erè ankò.,Pou pa fè menm erè ankò
11/08,Lalin ka montré verité-a : Pou pa kouri dèyè bagay ki pa vo'y.,Pou pa kouri dèyè bagay ki pa vo'y
12/08,Kannari ka pran tan'y pou fè mizik : Pou wouvè zyé'w byen.,Pou wouvè zyé'w byen
13/08,Mouton ka ba tout moun limyè : Sa ka fè'w aprann pasyans.,Sa ka fè'w aprann pasyans
14/08,Fey ka pran tan'y pou fè mizik : Pou sonjé koté'w sòti.,Pou sonjé koté'w sòti
15/08,Konpè lapen ka kaché sékré : Pou viv an lanmou.,Pou viv an lanmou
16/08,Konpè lapen ka kaché sékré : Pou sonjé koté'w sòti.,Pou sonjé koté'w sòti
17/08,Kannari ka voyé lod : Pou pa kouri dèyè bagay ki pa vo'y.,Pou pa kouri dèyè bagay ki pa vo'y
18/08,Lalin ka pran pasé'y : Sa ka fè'w aprann pasyans.,Sa ka fè'w aprann pasyans
19/08,Chyen ka mennen'w koté'w pa lé alé : Pou toujou gadé douvan.,Pou toujou gadé douvan
20/08,Zépon ka ba tout moun limyè : Pou viv an lanmou.,Pou viv an lanmou
21/08,Fey ka pran tan'y pou fè mizik : Pou pa kouri dèyè bagay ki pa vo'y.,Pou pa kouri dèyè bagay ki pa vo'y
22/08,Kokiyaj ka fè chimen'y : Pou pa fè menm erè ankò.,Pou pa fè menm erè ankò
23/08,Zépon ka mennen'w koté'w pa lé alé : Pou pa kouri dèyè bagay ki pa vo'y.,Pou pa kouri dèyè bagay ki pa vo'y
24/08,Fey ka pran pasé'y : Pou pa fè menm erè ankò.,Pou pa fè menm erè ankò
25/08,Woch ka ba tout moun limyè : Pou toujou gadé douvan.,Pou toujou gadé douvan
26/08,Zétwal ka pran tan'y pou fè mizik : Pou pa fè menm erè ankò.,Pou pa fè menm erè ankò
27/08,Lanmé ka montré verité-a : Pou wouvè zyé'w byen.,Pou wouvè zyé'w byen
28/08,Kannari ka montré verité-a : Pou toujou gadé douvan.,Pou toujou gadé douvan
29/08,Lalin ka montré verité-a : Pou pa fè menm erè ankò.,Pou pa fè menm erè ankò
30/08,Soley ka pran pasé'y : Pou konprann ki moun'w yé.,Pou konprann ki moun'w yé
31/08,Soley ka voyé son : Pou viv an lanmou.,Pou viv an lanmou
01/09,Bwa ka montré verité-a : Pou sonjé koté'w sòti.,Pou sonjé koté'w sòti
02/09,Lalin ka ba tout moun limyè : Pou konprann ki moun'w yé.,Pou konprann ki moun'w yé
03/09,Mouton ka voyé son : Pou chonjé fòs'w.,Pou chonjé fòs'w
04/09,Péyi-a ka mennen'w koté'w pa lé alé : Pou wouvè zyé'w byen.,Pou wouvè zyé'w byen
05/09,Chyen ka ba tout moun limyè : Pou toujou gadé douvan.,Pou toujou gadé douvan
06/09,Lanmé ka mennen'w koté'w pa lé alé : Pou wouvè zyé'w byen.,Pou wouvè zyé'w byen
07/09,Fey ka voyé son : Pou konprann ki moun'w yé.,Pou konprann ki moun'w yé
08/09,Bwa ka montré verité-a : Pou pa fè menm erè ankò.,Pou pa fè menm erè ankò
09/09,Vant ka pran tan'y pou fè mizik : Sa ka fè'w aprann pasyans.,Sa ka fè'w aprann pasyans
10/09,Lalin ka ba tout moun limyè : Pou sonjé koté'w sòti.,Pou sonjé koté'w sòti
11/09,Mouton ka kaché sékré : Pou pa fè menm erè ankò.,Pou pa fè menm erè ankò
12/09,Ti poul ka voyé lod : Pou viv an lanmou.,Pou viv an lanmou
13/09,Zétwal ka kaché sékré : Pou toujou gadé douvan.,Pou toujou gadé douvan
14/09,Vant ka pran pasé'y : Pou wouvè zyé'w byen.,Pou wouvè zyé'w byen
15/09,Ti poul ka fè chimen'y : Sa ka fè'w konn valè lavi.,Sa ka fè'w konn valè lavi
16/09,Vant pa ka manti : Pou sonjé koté'w sòti.,Pou sonjé koté'w sòti
17/09,Mouton ka mennen'w koté'w pa lé alé : Pou pa kouri dèyè bagay ki pa vo'y.,Pou pa kouri dèyè bagay ki pa vo'y
18/09,Zépon ka montré verité-a : Pou pa kouri dèyè bagay ki pa vo'y.,Pou pa kouri dèyè bagay ki pa vo'y
19/09,Zépon ka ba tout moun limyè : Pou pa kouri dèyè bagay ki pa vo'y.,Pou pa kouri dèyè bagay ki pa vo'y
20/09,Bwa ka fè chimen'y : Pou viv an lanmou.,Pou viv an lanmou
21/09,Zétwal ka ba tout moun limyè : Pou konprann ki moun'w yé.,Pou konprann ki moun'w yé
22/09,Dlo ka voyé lod : Pou wouvè zyé'w byen.,Pou wouvè zyé'w byen
23/09,Lalin ka mennen'w koté'w pa lé alé : Pou chonjé fòs'w.,Pou chonjé fòs'w
24/09,Konpè krab ka montré verité-a : Pou pa fè menm erè ankò.,Pou pa fè menm erè ankò
25/09,Bwa ka pran tan'y pou fè mizik : Sa ka fè'w aprann pasyans.,Sa ka fè'w aprann pasyans
26/09,Chat ka fè chimen'y : Pou konprann ki moun'w yé.,Pou konprann ki moun'w yé
27/09,Zétwal ka ba tout moun limyè : Sa ka fè'w aprann pasyans.,Sa ka fè'w aprann pasyans
28/09,Lanmé ka voyé lod : Pou sonjé koté'w sòti.,Pou sonjé koté'w sòti
29/09,Chat ka voyé lod : Pou pa kouri dèyè bagay ki pa vo'y.,Pou pa kouri dèyè bagay ki pa vo'y
30/09,Konpè krab ka fè chimen'y : Sa ka fè'w konn valè lavi.,Sa ka fè'w konn valè lavi
01/10,Chat pa ka manti : Pou konprann ki moun'w yé.,Pou konprann ki moun'w yé
02/10,Soley ka kaché sékré : Sa ka fè'w aprann pasyans.,Sa ka fè'w aprann pasyans
03/10,Konpè lapen ka pran pasé'y : Pou chonjé fòs'w.,Pou chonjé fòs'w
04/10,Konpè lapen ka kaché sékré : Sa ka fè'w konn valè lavi.,Sa ka fè'w konn valè lavi
