Activité,Catégorie,Niveau,Couleur
Décris ton environnement comme un extraterrestre.,Écriture,Facile,#F7F4D9
Résume ton humeur par une métaphore.,Dessin,Intermédiaire,#9E9D90
Écris 3 phrases avec des mots de 4 lettres max.,Observation,Intermédiaire,#D8D0C2
Écris sans t’arrêter pendant 1 minute.,Relaxation,Très facile,#F7F4D9
Invente un proverbe.,Jeu rapide,Très facile,#F7F4D9
Écris 10 rimes.,Jeu rapide,Intermédiaire,#D7D3CF
Écris une lettre à ton toi futur.,Dessin,Très facile,#D7D3CF
Crée un slogan pour un objet.,Observation,Intermédiaire,#D8D0C2
Liste 5 choses belles.,Créativité libre,Facile,#AEB1A0
Transforme un fait banal en phrase littéraire.,Créativité libre,Facile,#AEB1A0
Décris un bruit poétiquement.,Relaxation,Intermédiaire,#F7F4D9
Dialogue entre deux objets.,Dessin,Très facile,#9E9D90
Décris la journée d’une chaussure.,Relaxation,Très facile,#AEB1A0
Micro-histoire en 3 lignes.,Relaxation,Très facile,#D7D3CF
Pose une question philosophique.,Écriture,Intermédiaire,#9E9D90
Devine un secret d’un arbre.,Écriture,Très facile,#AEB1A0
Invente un titre de film.,Observation,Facile,#9E9D90
Dessine un objet de mémoire.,Dessin,Intermédiaire,#D8D0C2
Dessine une ombre.,Jeu rapide,Très facile,#AEB1A0
Décris 5 textures autour de toi.,Observation,Intermédiaire,#F7F4D9
Touche un objet et dessine-le.,Créativité libre,Très facile,#F7F4D9
Dessine un détail exagéré.,Créativité libre,Intermédiaire,#9E9D90
Liste 10 objets d’une même couleur.,Jeu rapide,Très facile,#D7D3CF
Décris un rayon de lumière.,Relaxation,Facile,#AEB1A0
Transforme une forme naturelle en dessin.,Écriture,Très facile,#D8D0C2
Croque un mouvement.,Jeu rapide,Facile,#9E9D90
Transforme 5 sons en symboles.,Créativité libre,Facile,#D7D3CF
Transforme un doodle en personnage.,Observation,Intermédiaire,#AEB1A0
Fusionne deux animaux.,Écriture,Intermédiaire,#9E9D90
Transforme un mot en dessin.,Dessin,Intermédiaire,#F7F4D9
Crée une carte postale imaginaire.,Créativité libre,Très facile,#9E9D90
Dessine seulement avec des spirales.,Relaxation,Facile,#D7D3CF
Dessine un objet réparé étrangement.,Observation,Intermédiaire,#F7F4D9
Transforme ton prénom en logo.,Observation,Très facile,#AEB1A0
Dessine un objet vivant.,Dessin,Intermédiaire,#D7D3CF
Simplifie un objet en icône.,Dessin,Facile,#D7D3CF
Dessine un personnage à partir d’un emoji.,Dessin,Très facile,#D7D3CF
Dessine une pièce d’une autre planète.,Jeu rapide,Très facile,#F7F4D9
Transforme une tache en dessin.,Jeu rapide,Facile,#AEB1A0
Dessine un labyrinthe simple.,Dessin,Très facile,#AEB1A0
Ville composée uniquement de cercles.,Créativité libre,Facile,#9E9D90
Potion magique et bouteille.,Dessin,Intermédiaire,#F7F4D9
Dessine 5 objets en 1 minute.,Dessin,Facile,#D8D0C2
Autoportrait en 20 secondes.,Jeu rapide,Facile,#F7F4D9
Animal en 15 secondes.,Jeu rapide,Très facile,#D7D3CF
3 versions d’un dessin à vitesse différente.,Écriture,Très facile,#9E9D90
Mini-paysage en 1 minute.,Dessin,Facile,#D8D0C2
Dessine la météo.,Écriture,Facile,#AEB1A0
Dessine ton humeur en une forme.,Jeu rapide,Facile,#F7F4D9
Dessine un aliment en 20 sec.,Relaxation,Intermédiaire,#D8D0C2
Montagne en 10 lignes.,Observation,Très facile,#F7F4D9
Geste unique continu.,Observation,Intermédiaire,#AEB1A0
Dessine un objet sous angle étrange.,Jeu rapide,Intermédiaire,#AEB1A0
Trace le contour d’un objet posé.,Relaxation,Facile,#D7D3CF
Invente une nouvelle fonction à un objet.,Écriture,Intermédiaire,#D8D0C2
Imagine la vie d’un objet.,Créativité libre,Très facile,#F7F4D9
Crée un motif inspiré d’un objet.,Relaxation,Facile,#AEB1A0
Version mignonne d’un objet.,Créativité libre,Intermédiaire,#AEB1A0
Version maléfique d’un objet.,Écriture,Intermédiaire,#D8D0C2
Version futuriste d’un objet classique.,Créativité libre,Facile,#D8D0C2
Combine deux objets.,Dessin,Intermédiaire,#D8D0C2
Dessine un objet en lévitation.,Observation,Intermédiaire,#AEB1A0
Écris un mot décoré.,Jeu rapide,Intermédiaire,#D8D0C2
Prénom en style médiéval.,Observation,Très facile,#D7D3CF
Tag artistique.,Écriture,Intermédiaire,#D8D0C2
Mot en simple/décoré/stylisé.,Écriture,Très facile,#F7F4D9
Mot en miroir.,Observation,Facile,#D8D0C2
Lettres transformées en créatures.,Écriture,Intermédiaire,#F7F4D9
Journée en typographie expressive.,Observation,Très facile,#F7F4D9
Invente 5 lettres d’un alphabet.,Relaxation,Très facile,#D7D3CF
Lettres déformées.,Relaxation,Intermédiaire,#9E9D90
Crée un monogramme.,Observation,Intermédiaire,#D7D3CF
Gribouillis + zones colorées.,Écriture,Très facile,#9E9D90
Composition avec 10 lignes.,Dessin,Très facile,#AEB1A0
Feuille pleine de cercles.,Relaxation,Facile,#AEB1A0
Formes géométriques chevauchées.,Jeu rapide,Très facile,#AEB1A0
Dessine uniquement des carrés.,Relaxation,Facile,#D8D0C2
Motif répétitif.,Dessin,Facile,#F7F4D9
Dessin basé sur un rythme.,Créativité libre,Très facile,#D8D0C2
Explosion abstraite.,Dessin,Intermédiaire,#F7F4D9
Vague stylisée.,Jeu rapide,Facile,#D7D3CF
Sentiment en diagramme.,Écriture,Intermédiaire,#9E9D90
Dessine ton stress version drôle.,Observation,Intermédiaire,#D7D3CF
Dessine ce qui te calme.,Observation,Très facile,#9E9D90
Dessine une victoire récente.,Jeu rapide,Très facile,#D8D0C2
Dessine ce que tu veux attirer.,Jeu rapide,Très facile,#D8D0C2
Endroit sûr en dessin.,Observation,Intermédiaire,#F7F4D9
Dessine un rêve.,Créativité libre,Très facile,#D8D0C2
Dessine une émotion en couleurs.,Écriture,Très facile,#F7F4D9
Liste 5 sources d’énergie.,Créativité libre,Facile,#9E9D90
Version super-héros de toi.,Observation,Très facile,#9E9D90
Dessine une amulette.,Observation,Intermédiaire,#AEB1A0
Poisson en une ligne.,Observation,Très facile,#AEB1A0
Paysage dans un coin.,Écriture,Intermédiaire,#D8D0C2
Visage géométrique.,Écriture,Intermédiaire,#D7D3CF
Drapeau de ton humeur.,Écriture,Intermédiaire,#9E9D90
Dessine ton repas préféré.,Dessin,Intermédiaire,#9E9D90
Météo imaginaire.,Relaxation,Intermédiaire,#9E9D90
Signature artistique.,Observation,Très facile,#F7F4D9
Objet fragmenté.,Jeu rapide,Intermédiaire,#9E9D90
Symbole du mois.,Jeu rapide,Intermédiaire,#D8D0C2
Bonhomme bâton expressif.,Dessin,Intermédiaire,#9E9D90
Animal jamais vu.,Créativité libre,Facile,#F7F4D9
Horloge énergétique.,Jeu rapide,Très facile,#D8D0C2
Première idée venue.,Jeu rapide,Très facile,#F7F4D9
Ton environnement en mode jeu vidéo.,Observation,Très facile,#D8D0C2
Objet kawaii.,Créativité libre,Intermédiaire,#D7D3CF
Illusion simple.,Relaxation,Très facile,#AEB1A0
Mini mandala.,Dessin,Facile,#F7F4D9
Lettre en animal.,Observation,Très facile,#9E9D90
Boisson en personnage.,Dessin,Très facile,#F7F4D9
Micro vs géant en dessin.,Créativité libre,Très facile,#9E9D90
Monstre à 3 émotions.,Relaxation,Intermédiaire,#D8D0C2
Véhicule imaginaire.,Écriture,Facile,#D8D0C2
Fantôme amical.,Relaxation,Très facile,#AEB1A0
Dessine un trésor.,Observation,Facile,#F7F4D9
