date,devinette,réponse
07/03,Qu'est-ce qui a un col mais pas de chemise ?,une bouteille
08/03,Qu'est-ce qui tourne sans bouger ?,le cadran d'une horloge
09/03,Qu'est-ce qui vole sans ailes ?,le temps
10/03,Qu'est-ce qui est à la fois suspendu et toujours au-dessus de nous ?,le plafond
11/03,Qu'est-ce qui a quatre pattes le matin, deux à midi, trois le soir ?,l'homme
12/03,Qu'est-ce qui a la tête en bas quand il est à l'endroit ?,un clou
13/03,Qu'est-ce qui est au milieu de Paris ?,la lettre R
14/03,Qu'est-ce qui a des yeux mais reste aveugle ?,la Sainte Vierge
15/03,Qu'est-ce qui tombe souvent mais ne se casse jamais ?,la nuit
16/03,Qu'est-ce qui est jaune quand neuf, rouge quand sale, noir quand propre ?,un journal
17/03,Qu'est-ce qui dort tout le jour et danse toute la nuit ?,une bougie
18/03,Qu'est-ce qui porte tout mais ne supporte rien ?,un atlas
19/03,Qu'est-ce qui est rond comme un pain et vert comme une feuille ?,un petit pois
20/03,Qu'est-ce qui est à la fois carpe et lapin ?,un hareng (saureng)
21/03,Qu'est-ce qui s'abaisse quand on le secoue et se soulève quand on le retourne ?,une balance
22/03,Qu'est-ce qui marche à quatre pattes et a une trompe ?,un éléphant
23/03,Qu'est-ce qui est dans ton dos quand tu as mal aux dents ?,un dentiste
24/03,Qu'est-ce qui va de ville en ville mais jamais de maison en maison ?,une rue
25/03,Qu'est-ce qui est noir, blanc, rouge et qui parle ?,un moine qui lit son bréviaire
26/03,Qu'est-ce qui a un gros derrière mais qui ne se retourne jamais ?,un violon
27/03,Qu'est-ce qui est à la fois vert et qui vient d'Espagne ?,un petit pois
28/03,Qu'est-ce qui est long, qui ne vaut rien et qui pend au mur ?,une corde à sauter
29/03,Qu'est-ce qui est rond, qui monte et descend et qu'on voit la nuit ?,la lune
30/03,Qu'est-ce qui est noir et blanc et qui lit tout le temps ?,un panda
31/03,Qu'est-ce qui a des dents de scie mais qu'on ne mange jamais ?,une scie
01/04,Qu'est-ce qui court sans jamais avancer ?,un ruisseau
02/04,Qu'est-ce qui monte en chantant et descend en silence ?,une bougie
03/04,Qu'est-ce qui a un pied d'agneau mais qui ne broute pas ?,un compas
04/04,Qu'est-ce qui porte les brebis mais ne se charge jamais ?,un berger
05/04,Qu'est-ce qui a un lit sans jamais dormir ?,une rivière
06/04,Qu'est-ce qui a une queue courte mais un long menton ?,un cochon
07/04,Qu'est-ce qui est à la fois jaune et noir et qui vole ?,une abeille
08/04,Qu'est-ce qui a des dents mais qui ne mange pas ?,un râteau
09/04,Qu'est-ce qui est à la fois gris et qui a une queue de renard ?,un écureuil
10/04,Qu'est-ce qui a un bec mais qui ne chante pas ?,un fer à repasser
11/04,Qu'est-ce qui va sur quatre pieds et a un sabot d'or ?,un escargot
12/04,Qu'est-ce qui est rond et qui saute ?,un cabri
13/04,Qu'est-ce qui est jaune et qui a des dents ?,une épi de maïs
14/04,Qu'est-ce qui est à la fois blanc et qui mord ?,un chien enragé
15/04,Qu'est-ce qui a des poils mais qui n'est pas un animal ?,un pinceau
16/04,Qu'est-ce qui est long et fin, qui pend et fait du bruit quand on le secoue ?,une clochette
17/04,Qu'est-ce qui a des ailes mais qui ne vole pas ?,un moulin
18/04,Qu'est-ce qui est noir et blanc et qui lit tous les jours ?,un zèbre myope
19/04,Qu'est-ce qui a un corps d'oiseau et des pattes de lièvre ?,un perdreau
20/04,Qu'est-ce qui est à la fois rose et qui chante ?,un phoque
21/04,Qu'est-ce qui a des yeux mais qui ne dort jamais ?,un cyclone
22/04,Qu'est-ce qui est rond comme un anneau et vert comme l'herbe ?,un petit pois
23/04,Qu'est-ce qui est à la fois chaud et qui mord ?,un fer à cheval
24/04,Qu'est-ce qui est noir et blanc et rouge toute la journée ?,un zèbre qui rougit
25/04,Qu'est-ce qui est à la fois mou et qui gronde ?,du tonnerre
26/04,Qu'est-ce qui est long et fin comme un crayon mais qui a un cœur tout rond ?,une cerise
27/04,Qu'est-ce qui est vert et qui va à la pêche ?,un brochet
28/04,Qu'est-ce qui est à la fois rouge et qui a la queue grise ?,un renard roux
29/04,Qu'est-ce qui a des pattes mais qui ne marche jamais ?,un escargot
30/04,Qu'est-ce qui est à la fois petit et qui fait peur au géant ?,un grain de sable
01/05,Qu'est-ce qui est toujours triste quand il pleut ?,un parapluie
02/05,Qu'est-ce qui est rond et qui ne roule jamais ?,le soleil
03/05,Qu'est-ce qui est à la fois gros et qui ne se voit jamais ?,l'air
04/05,Qu'est-ce qui est à la fois fin et qui a quatre roues ?,une aiguille à tricoter
05/05,Qu'est-ce qui est à la fois long et qui ne finit jamais ?,la journée
06/05,Qu'est-ce qui est à la fois blanc et qui court sur la mer ?,l'écume
07/05,Qu'est-ce qui est à la fois bleu et qui vole sans ailes ?,la fumée
08/05,Qu'est-ce qui est à la fois petit et qui fait couler des larmes ?,un oignon
09/05,Qu'est-ce qui est à la fois léger et qui fait du bruit en tombant ?,une feuille
10/05,Qu'est-ce qui est à la fois gros et qui passe à travers un trou de serrure ?,l'ombre
11/05,Qu'est-ce qui est à la fois chaud et qui court dans les rues ?,l'eau
12/05,Qu'est-ce qui est à la fois vieux et qui vient de naître ?,la lune
13/05,Qu'est-ce qui est à la fois fin et qui sépare deux pays ?,une rivière
14/05,Qu'est-ce qui est à la fois blanc et qui vole sans ailes ?,la neige
15/05,Qu'est-ce qui est à la fois lourd et qui ne pèse rien ?,le bruit
16/05,Qu'est-ce qui est à la fois mou et qui casse les pierres ?,l'eau
17/05,Qu'est-ce qui est à la fois court et qui a la tête qui touche le ciel ?,un arc-en-ciel
18/05,Qu'est-ce qui est à la fois noir et qui illumine la nuit ?,une étoile
19/05,Qu'est-ce qui est à la fois doux et qui fait mal quand il tombe ?,la pluie
20/05,Qu'est-ce qui est à la fois chaud et qui gèle ?,le soleil
21/05,Qu'est-ce qui est à la fois petit et qui donne de la lumière à tout le monde ?,une allumette
22/05,Qu'est-ce qui est à la fois liquide et qui court sans jambes ?,l'eau
23/05,Qu'est-ce qui est à la fois fin et qui enferme des millions de gens ?,la loi
24/05,Qu'est-ce qui est à la fois blanc et qui noircit ce qu'il touche ?,le cygne
25/05,Qu'est-ce qui est à la fois chaud et qui fait fuir tout le monde ?,le feu
26/05,Qu'est-ce qui est à la fois gros et qui tient dans une tasse de thé ?,l'océan
27/05,Qu'est-ce qui est à la fois léger et qui remplit une maison sans la remplir ?,la lumière
28/05,Qu'est-ce qui est à la fois froid et qui brûle ?,la glace
29/05,Qu'est-ce qui est à la fois liquide et qui ne boit jamais ?,le vin
30/05,Qu'est-ce qui est à la fois rond et qui ne tourne jamais ?,le monde
31/05,Qu'est-ce qui est à la fois petit et qui fait marcher le monde ?,l'argent
01/06,Qu'est-ce qui a quatre yeux mais ne voit rien ?,deux pommes de terre
02/06,Qu'est-ce qui a six pattes mais ne marche pas ?,un violon
03/06,Qu'est-ce qui a vingt-quatre heures mais ne bouge jamais ?,un jour
04/06,Qu'est-ce qui a un million d'yeux mais reste aveugle ?,un tamis
05/06,Qu'est-ce qui a sept têtes mais un seul corps ?,une semaine
06/06,Qu'est-ce qui a douze têtes et marche à l'envers ?,un mois
07/06,Qu'est-ce qui a quatre pattes et une selle mais ne court jamais ?,une table
08/06,Qu'est-ce qui a deux pieds mais rien sur la tête ?,un lit
09/06,Qu'est-ce qui a deux têtes, six pattes mais un seul corps ?,deux pantalons
10/06,Qu'est-ce qui a un pied et douze têtes ?,un soulier
11/06,Qu'est-ce qui a deux langues mais un seul gosier ?,deux mouchoirs
12/06,Qu'est-ce qui a deux gendarmes mais ne bouge pas ?,une paire de bretelles
13/06,Qu'est-ce qui a trois cœurs mais pas de corps ?,un artichaut
14/06,Qu'est-ce qui a dix-huit jambes mais qui ne marche pas ?,un buffet
15/06,Qu'est-ce qui a quatre roues et vole sans ailes ?,un tombereau
16/06,Qu'est-ce qui a deux oreilles de chaque côté ?,un chaudron
17/06,Qu'est-ce qui a trois queues mais un seul corps ?,trois chats
18/06,Qu'est-ce qui a un derrière de bois mais qui ne s'assied jamais ?,une scie
19/06,Qu'est-ce qui a deux museaux mais une seule gueule ?,deux bouteilles
20/06,Qu'est-ce qui a quatre cornes mais qui ne voit jamais le taureau ?,une chaire
21/06,Qu'est-ce qui a une main de velours et un poing de fer ?,un gant
22/06,Qu'est-ce qui a deux têtes mais un seul corps ?,une pièce de monnaie
23/06,Qu'est-ce qui a un corps et cinq âmes ?,un quinquina
24/06,Qu'est-ce qui a deux têtes et une seule jambe ?,deux bouteilles
25/06,Qu'est-ce qui a un pied carré mais qui ne marche jamais ?,de la toile cirée
26/06,Qu'est-ce qui a quatre oreilles mais qui est toujours sourd ?,deux pots
27/06,Qu'est-ce qui a six pieds et deux têtes ?,un lit
28/06,Qu'est-ce qui a un pied de nez mais qui ne se moque de personne ?,une tasse
29/06,Qu'est-ce qui a deux pieds de lapin ?,un tabouret
30/06,Qu'est-ce qui a trois pieds mais qui ne marche pas ?,un pot à trois pieds
01/07,Qu'est-ce qui commence par E et finit par E mais ne contient qu'une seule lettre ?,l'enveloppe
02/07,Qu'est-ce qui est au premier dans la course mais au second sur la photo-finish ?,le coureur
03/07,Quelle est la différence entre ici et là-bas ?,la lettre "t"
04/07,Qu'est-ce qui est au milieu de l'Europe ?,la lettre "R"
05/07,Qu'est-ce qui est plus grand que la Tour Eiffel mais plus léger qu'une plume ?,l'ombre de la Tour Eiffel
06/07,Qu'est-ce qui a une tête ronde, deux pieds carrés et un long cou ?,un lit
07/07,Qu'est-ce qui a un derrière de bois et une tête de fer ?,une pelle
08/07,Qu'est-ce qui a un gros nez, deux petites pattes et une longue queue ?,une souris
09/07,Qu'est-ce qui a deux bosses mais qui ne transporte pas de chameaux ?,un dromadaire
10/07,Qu'est-ce qui a trois yeux mais ne voit rien ?,un cyclone
11/07,Qu'est-ce qui a un pied de velours ?,un rouleau de tapis
12/07,Qu'est-ce qui a un os de seiche dans la poche ?,un perroquet
13/07,Qu'est-ce qui a un épi de maïs dans la tête ?,un pivert
14/07,Qu'est-ce qui a un anneau au doigt ?,un pigeon voyageur
15/07,Qu'est-ce qui a deux pieds de nez ?,une paire de pincettes
16/07,Qu'est-ce qui porte ses bretelles devant ?,un zèbre
17/07,Qu'est-ce qui a un cou de bois et des dents de fer ?,une faux
18/07,Qu'est-ce qui a un derrière de velours ?,un fer à repasser
19/07,Qu'est-ce qui a quatre roues et vole ?,un autobus
20/07,Qu'est-ce qui a une robe à carreaux mais n'est pas une femme ?,un pot de chambre
21/07,Qu'est-ce qui a un chapeau noir mais qui n'est pas un prêtre ?,un champignon
22/07,Qu'est-ce qui a une robe noire rayée de blanc mais qui n'est pas une religieuse ?,un zèbre
23/07,Qu'est-ce qui a un cœur noir et une robe blanche ?,une marguerite
24/07,Qu'est-ce qui a une robe à pois mais n'est pas une femme ?,une coccinelle
25/07,Qu'est-ce qui a une robe verte à pois rouges ?,une fraise
26/07,Qu'est-ce qui a une robe à col roulé ?,un poireau
27/07,Qu'est-ce qui a une robe bleue mais qui n'est pas une femme ?,un merle
28/07,Qu'est-ce qui a une robe de velours mais qui n'est pas une femme ?,un faucon
29/07,Qu'est-ce qui a une culotte rayée de noir et blanc ?,un bourdon
30/07,Qu'est-ce qui a une chemise à pois mais n'est pas un homme ?,un papillon
31/07,Qu'est-ce qui a un chapeau de paille mais qui n'est pas un paysan ?,un champignon
01/08,Qu'est-ce qui est toujours derrière le temps ?,l'éternité
02/08,Qu'est-ce qui commence par T, finit par T et est plein d'eau de T ?,un tétard
03/08,Qu'est-ce qui est moitié cheval et moitié poisson ?,un maquereau (maquereau)
04/08,Qu'est-ce qui est à la fois dent de cheval et patte d'oie ?,une fer à cheval
05/08,Qu'est-ce qui est moitié boeuf et moitié poisson ?,une carpe
06/08,Qu'est-ce qui est moitié cochon et moitié poisson ?,un hareng
07/08,Qu'est-ce qui est moitié mouton et moitié cochon ?,un agneau
08/08,Qu'est-ce qui est moitié serpent et moitié poisson ?,une anguille
09/08,Qu'est-ce qui est moitié homme et moitié cheval ?,un centaure
10/08,Qu'est-ce qui est moitié lion et moitié aigle ?,un griffon
11/08,Qu'est-ce qui est moitié chèvre et moitié poisson ?,un chevreuil
12/08,Qu'est-ce qui est moitié taureau et moitié homme ?,un minotaure
13/08,Qu'est-ce qui est moitié oiseau et moitié serpent ?,un serpent-volant
14/08,Qu'est-ce qui est moitié loup et moitié chien ?,un chien-loup
15/08,Qu'est-ce qui est moitié chat et moitié renard ?,un chat-huant
16/08,Qu'est-ce qui est moitié âne et moitié cheval ?,un mulet
17/08,Qu'est-ce qui est moitié vache et moitié cheval ?,un hippopotame
18/08,Qu'est-ce qui est moitié porc et moitié oiseau ?,un dindon
19/08,Qu'est-ce qui est moitié grenouille et moitié serpent ?,une couleuvre
20/08,Qu'est-ce qui est moitié lièvre et moitié perdrix ?,un lagopède
21/08,Qu'est-ce qui est moitié canard et moitié plongeur ?,un butor
22/08,Qu'est-ce qui est moitié héron et moitié cigogne ?,un héron cendré
23/08,Qu'est-ce qui est moitié faisan et moitié perdrix ?,une perdrix
24/08,Qu'est-ce qui est moitié poule et moitié dinde ?,un coq de bruyère
25/08,Qu'est-ce qui est moitié corbeau et moitié pie ?,un choucas
26/08,Qu'est-ce qui est moitié pigeon et moitié colombe ?,une tourterelle
27/08,Qu'est-ce qui est moitié moineau et moitié hirondelle ?,un traîne-buisson
28/08,Qu'est-ce qui est moitié rouge-gorge et moitié grive ?,un fauvette
29/08,Qu'est-ce qui est moitié mésange et moitié sittelle ?,un troglodyte
30/08,Qu'est-ce qui est moitié bouvreuil et moitié linot ?,un roselin
31/08,Qu'est-ce qui est moitié serin et moitié verdier ?,un chardonneret
01/09,Qu'est-ce qui a besoin d'un bain mais n'entre jamais dans la baignoire ?,une assiette
02/09,Qu'est-ce qui a un cou mais ne tourne jamais la tête ?,une girouette
03/09,Qu'est-ce qui court très vite mais ne bouge jamais de place ?,un ruisseau
04/09,Qu'est-ce qui chante sans bouche ?,le vent
05/09,Qu'est-ce qui monte dans les arbres l'hiver et descend au printemps ?,une feuille
06/09,Qu'est-ce qui pleure sans yeux et coule sans robinet ?,une fontaine
07/09,Qu'est-ce qui est né avec une queue et sans pieds, qui marche avec quatre pattes et meurt sans aucune ?,un ver
08/09,Qu'est-ce qui dort le jour avec son chapeau de fourrure ?,un hérisson
09/09,Qu'est-ce qui a tant de dents qu'on ne peut les compter ?,la forêt
10/09,Qu'est-ce qui a la peau si épaisse qu'on ne peut la percer ?,une anguille
11/09,Qu'est-ce qui est plus chaud l'hiver que l'été mais qui disparaît au printemps ?,le manteau
12/09,Qu'est-ce qui est plus long le jour que la nuit ?,l'ombre
13/09,Qu'est-ce qui a la tête en bas toute la journée ?,les cheveux
14/09,Qu'est-ce qui est à l'envers sur la tête des hommes et à l'endroit sur la tête des femmes ?,la raie
15/09,Qu'est-ce qui est le plus grand vendeur de peinture au monde ?,le soleil
16/09,Qu'est-ce qui a les dents les plus longues du monde ?,un râteau
17/09,Qu'est-ce qui est le plus rapide dormeur du monde ?,la taupe
18/09,Qu'est-ce qui est le plus grand coureur du monde ?,la rue
19/09,Qu'est-ce qui est le plus grand plongeur du monde ?,le canard
20/09,Qu'est-ce qui est le plus grand suceur de sang du monde ?,un citron
21/09,Qu'est-ce qui est le plus petit orchestre du monde ?,un piano
22/09,Qu'est-ce qui est le plus grand chapeau du monde ?,le ciel
23/09,Qu'est-ce qui est le plus grand vase du monde ?,l'océan
24/09,Qu'est-ce qui est le plus beau vêtement du monde ?,l'écorce (sur les arbres)
25/09,Qu'est-ce qui est le plus grand pâtissier du monde ?,une poule
26/09,Qu'est-ce qui est le plus grand évier du monde ?,un lac
27/09,Qu'est-ce qui est le plus grand lit du monde ?,un jardin
28/09,Qu'est-ce qui est le plus grand crayon du monde ?,un arbre
29/09,Qu'est-ce qui est le plus grand pot du monde ?,un volcan
30/09,Qu'est-ce qui est le plus grand miroir du monde ?,un lac
01/10,Qu'est-ce qui porte tout sans jamais se fatiguer ?,l'atmosphère
02/10,Qu'est-ce qui est plus vieux que toi mais plus jeune que moi ?,l'univers
03/10,Qu'est-ce qui est toujours affamé et qui se nourrit d'air ?,le feu
04/10,Qu'est-ce qui court tout autour de la maison sans jamais entrer ?,le mur
05/10,Qu'est-ce qui peut remplir une pièce entière sans prendre de place ?,la lumière
06/10,Qu'est-ce qui a un œil mais ne peut pas voir ?,une aiguille
07/10,Qu'est-ce qui disparaît dès qu'on le nomme ?,le silence
08/10,Qu'est-ce qui est noir quand il est propre et blanc quand il est sale ?,un tableau noir
09/10,Qu'est-ce qui a des racines qu'on ne voit jamais, des feuilles qu'on ne voit jamais et que je n'ai jamais vu ?,l'arbre généalogique
10/10,Qu'est-ce qui a un chapeau mais n'a pas de tête, a un lit mais ne dort pas, a une bouche mais ne mange pas ?,un champignon
11/10,Qu'est-ce qui a des jambes mais ne marche pas, a un dos mais ne porte rien, a des bras mais ne peut pas les lever ?,une chaise
12/10,Qu'est-ce qui a une tête ronde, une queue pointue et porte du linge sur le dos ?,un clou
13/10,Qu'est-ce qui a deux yeux mais ne voit jamais la lumière du jour ?,deux pommes de terre
14/10,Qu'est-ce qui est suspendu dans l'air, tient au bout d'un fil mais ne pend pas ?,une bulle de savon
15/10,Qu'est-ce qui marche à cloche-pied ?,un flamant rose
16/10,Qu'est-ce qui a un grand chapeau, une barbe blanche et sort la nuit ?,le Père Noël
17/10,Qu'est-ce qui est le plus rapide des animaux mais ne bouge jamais ?,l'escargot (parce qu'on ne le voit jamais)
18/10,Qu'est-ce qui monte toujours et descend jamais ?,les marches d'un escalier
19/10,Qu'est-ce qui a un œil noir, une queue blanche et des ailes bleues ?,une pie
20/10,Qu'est-ce qui court beaucoup mais ne va jamais nulle part ?,un moulin à eau
21/10,Qu'est-ce qui est aussi grand que le cheval mais ne pèse qu'un grain de blé ?,sa crinière
22/10,Qu'est-ce qui a deux têtes, quatre yeux, six jambes mais qui ne voit jamais le soleil ?,deux pommes de terre pourries
23/10,Qu'est-ce qui a un pied, trois pattes, douze têtes et 29 yeux ?,un jeu de dames
24/10,Qu'est-ce qui court après la forêt sans jamais l'attraper ?,le brouillard
25/10,Qu'est-ce qui est toujours humide du matin au soir ?,une éponge
26/10,Qu'est-ce qui monte la montagne la tête en bas ?,les clous des chaussures
27/10,Qu'est-ce qui est à l'envers dans les poches et à l'endroit sur la table ?,les cartes
28/10,Qu'est-ce qui court sans pieds, siffle sans bouche et ne s'arrête jamais ?,le vent
29/10,Qu'est-ce qui a un col mais pas de chemise, une taille mais pas de corps ?,une bouteille
30/10,Qu'est-ce qui a un pied de nez, un derrière de bois et des épaules de fer ?,un tire-bouchon
31/10,Qu'est-ce qui est rond comme une pomme, rouge comme un poivre mais qui n'est pas un fruit ?,le nez du poivrot
01/11,Qu'est-ce qui porte sa croix sans se plaindre ?,l'araignée
02/11,Qu'est-ce qui a deux dos et marche sur la tête ?,les punaises de lit
03/11,Qu'est-ce qui a un bec de flûte, des yeux de diamant et une queue de renard ?,un soufflet
04/11,Qu'est-ce qui a le derrière en dedans et la tête en dehors ?,un œuf
05/11,Qu'est-ce qui porte son paradis dans sa poche ?,la taupe
06/11,Qu'est-ce qui est à la fois vert et bleu et qui chante ?,un merle bleu
07/11,Qu'est-ce qui est à la fois blanc et qui fait du bruit comme un tambour ?,le cerf
08/11,Qu'est-ce qui est à la fois rouge et qui porte une croix blanche ?,la coccinelle
09/11,Qu'est-ce qui est à la fois petit et qui fait de la musique comme un orgue ?,le coucou
10/11,Qu'est-ce qui est à la fois noir et qui porte un habit blanc ?,le merle
11/11,Qu'est-ce qui est à la fois jaune et qui fait la roue comme un paon ?,la mésange
12/11,Qu'est-ce qui est à la fois petit et qui boit comme un trou ?,la fourmi
13/11,Qu'est-ce qui est à la fois gros et qui vole comme un oiseau ?,le cerf-volant
14/11,Qu'est-ce qui est à la fois rond et qui court plus vite qu'un lièvre ?,le soleil
15/11,Qu'est-ce qui est à la fois fin et qui fait plus de bruit qu'un tambour ?,une mouche
16/11,Qu'est-ce qui est à la fois petit et qui porte un habit rouge ?,le cardinal
17/11,Qu'est-ce qui est à la fois chaud et qui ne brûle jamais ?,le feu follet
18/11,Qu'est-ce qui est à la fois mou et qui fait plus de bruit qu'un cheval ?,le vent
19/11,Qu'est-ce qui est à la fois léger et qui fait trembler la terre ?,le tremblement de terre
20/11,Qu'est-ce qui est à la fois petit et qui fait plus de bruit qu'un canon ?,l'oreille
21/11,Qu'est-ce qui est à la fois gros et qui entre dans un tout petit trou ?,l'éléphant (dans une fourmilière)
22/11,Qu'est-ce qui est à la fois chaud et qui fait froid dans le dos ?,la peur
23/11,Qu'est-ce qui est à la fois liquide et qui court sur les épaules ?,les pleurs
24/11,Qu'est-ce qui est à la fois petit et qui fait voler un cerf-volant ?,le vent
25/11,Qu'est-ce qui est à la fois doux et qui fait mal comme une épine ?,la plume
26/11,Qu'est-ce qui est à la fois fin et qui attache un éléphant ?,une corde
27/11,Qu'est-ce qui est à la fois gros et qui rentre dans un dé à coudre ?,un chameau
28/11,Qu'est-ce qui est à la fois chaud et qui ne se voit jamais ?,l'amour
29/11,Qu'est-ce qui est à la fois petit et qui fait tomber un géant ?,la goutte d'eau
30/11,Qu'est-ce qui est à la fois fin et qui fait rougir un empereur ?,une plume
01/12,Qu'est-ce qui a des yeux verts et une robe rouge ?,la tomate
02/12,Qu'est-ce qui a un chapeau blanc et une robe verte ?,le chou-fleur
03/12,Qu'est-ce qui a une couronne d'or et une robe verte ?,l'oignon
04/12,Qu'est-ce qui a des cheveux d'or et une robe verte ?,le blé
05/12,Qu'est-ce qui a une peau de velours et des yeux d'argent ?,la pêche
06/12,Qu'est-ce qui a une robe de satin et des diamants sur la tête ?,la fraise
07/12,Qu'est-ce qui a une robe de velours violet et une couronne d'argent ?,la prune
08/12,Qu'est-ce qui a une peau rouge et un cœur blanc ?,la radis
09/12,Qu'est-ce qui a une robe verte et des rubis à l'intérieur ?,l'avocat
10/12,Qu'est-ce qui a une peau jaune et un cœur noir ?,la banane
11/12,Qu'est-ce qui a une robe orange et une couronne verte ?,l'orange
12/12,Qu'est-ce qui a une peau verte et des yeux noirs ?,le concombre
13/12,Qu'est-ce qui a une robe blanche et un cœur vert ?,le chou
14/12,Qu'est-ce qui a une peau brune et un cœur blanc ?,la noix de coco
15/12,Qu'est-ce qui a une robe rouge et des cheveux verts ?,la fraise des bois
16/12,Qu'est-ce qui a une peau noire et un cœur rouge ?,la framboise
17/12,Qu'est-ce qui a une robe jaune et un cœur orange ?,le citron
18/12,Qu'est-ce qui a une peau verte et un cœur jaune ?,le poivron
